Wavelength_nm,UV_photoreceptor,G_photoreceptor,R_photoreceptor
663,1.60E-06,0.003563532,0.166279394
664,1.60E-06,0.003258563,0.152838677
665,1.60E-06,0.002978028,0.140221424
666,1.60E-06,0.002812286,0.132497317
667,1.60E-06,0.002575425,0.121234884
668,1.60E-06,0.002359332,0.111137811
669,1.60E-06,0.002226231,0.105153647
670,1.60E-06,0.002100762,0.099649542
671,1.60E-06,0.001922071,0.091841184
672,1.60E-06,0.001757035,0.084463385
673,1.60E-06,0.001655181,0.079818013
674,1.60E-06,0.001516354,0.0732985
675,1.60E-06,0.001386876,0.067185844
676,1.60E-06,0.001305646,0.063423012
677,1.60E-06,0.001194386,0.058363567
678,1.60E-06,0.001089876,0.053652268
679,1.60E-06,0.001026616,0.050785822
680,1.60E-06,0.000938193,0.046822427
681,1.60E-06,0.000858654,0.043177428
682,1.60E-06,0.000810278,0.040917175
683,1.60E-06,0.000743477,0.037722683
684,1.60E-06,0.000682069,0.034749297
685,1.60E-06,0.000644065,0.032923661
686,1.60E-06,0.000591334,0.030417718
687,1.60E-06,0.000541515,0.02801762
688,1.60E-06,0.000510581,0.026478397
689,1.60E-06,0.000467503,0.024286525
690,1.60E-06,0.000427935,0.022250545
691,1.60E-06,0.000404303,0.021016426
692,1.60E-06,0.000371485,0.019300813
693,1.60E-06,0.000341171,0.017660053
694,1.60E-06,0.000322736,0.016680084
695,1.60E-06,0.000297101,0.015337405
696,1.60E-06,0.000273339,0.01411595
697,1.60E-06,0.000258205,0.013350666
698,1.60E-06,0.000237291,0.012252801
699,1.60E-06,0.00021793,0.011220768
700,1.60E-06,0.000206153,0.010607185
